Latitude,Longitude,Ward,Community Area,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Month,Day,Hour,Severity,Season
41.98587528,-87.76640386,39.0,11.0,2022-08-14 14:00:00,055XX W ARDMORE AVE,1562,SEX OFFENSE,False,False,1621,16,17,2022,8,14,14,Other,Summer
41.76261474,-87.65284046,17.0,68.0,2022-11-10 03:47:00,072XX S MAY ST,1477,WEAPONS VIOLATION,False,False,733,7,15,2022,11,10,3,Other,Fall
41.86668568,-87.66342658,22.0,30.0,2022-08-01 22:00:00,028XX S KEELER AVE,1562,SEX OFFENSE,False,True,1031,10,17,2022,8,1,22,Other,Summer
41.89621515,-87.72857205,37.0,23.0,2019-08-17 13:14:00,008XX N KARLOV AVE,1751,OFFENSE INVOLVING CHILDREN,True,True,1111,11,17,2019,8,17,13,Other,Summer
41.86668568,-87.66342658,31.0,19.0,2022-10-15 01:30:00,051XX W WRIGHTWOOD AVE,486,BATTERY,True,True,2521,25,08B,2022,10,15,1,Severe,Fall
41.7486538,-87.60268049,8.0,44.0,2023-03-30 09:16:00,080XX S DREXEL AVE,1544,SEX OFFENSE,False,True,631,6,17,2023,3,30,9,Other,Spring
41.93201543,-87.76991667,30.0,19.0,2023-05-10 12:43:00,028XX N MANGO AVE,1754,OFFENSE INVOLVING CHILDREN,False,True,2514,25,2,2023,5,10,12,Other,Spring
41.91756278,-87.74982812,26.0,19.0,2023-04-01 11:13:00,020XX N LAPORTE AVE,1751,OFFENSE INVOLVING CHILDREN,False,True,2522,25,17,2023,4,1,11,Other,Spring
41.91065261,-87.66614577,1.0,24.0,2023-06-22 18:52:00,015XX W NORTH AVE,1153,DECEPTIVE PRACTICE,True,False,1433,14,11,2023,6,22,18,Other,Summer
41.69283384,-87.60431945,9.0,50.0,2023-06-30 04:00:00,007XX E 111TH ST,583,STALKING,True,False,531,5,08A,2023,6,30,4,Other,Summer
41.80890316,-87.61813919,3.0,38.0,2023-07-04 17:30:00,047XX S CALUMET AVE,910,MOTOR VEHICLE THEFT,True,False,224,2,7,2023,7,4,17,Other,Summer
41.91157425,-87.78997228,29.0,25.0,2018-11-09 00:00:00,017XX N NASHVILLE AVE,265,CRIMINAL SEXUAL ASSAULT,False,False,2513,25,2,2018,11,9,0,Other,Fall
41.78826455,-87.62229949,20.0,40.0,2023-02-01 14:00:00,058XX S MICHIGAN AVE,1562,SEX OFFENSE,True,True,232,2,17,2023,2,1,14,Other,Winter
41.91765602,-87.68875026,1.0,22.0,2023-08-17 15:15:00,020XX N MILWAUKEE AVE,860,THEFT,True,False,1431,14,6,2023,8,17,15,Less Severe,Summer
41.93588316,-87.71621965,35.0,21.0,2023-08-17 19:25:00,030XX N ELBRIDGE AVE,860,THEFT,True,False,1412,14,6,2023,8,17,19,Less Severe,Summer
41.91779013,-87.75462463,36.0,19.0,2023-08-20 04:30:00,020XX N LEAMINGTON AVE,1310,CRIMINAL DAMAGE,True,True,2522,25,14,2023,8,20,4,Less Severe,Summer
41.91750674,-87.75339264,26.0,19.0,2023-08-20 06:00:00,020XX N LECLAIRE AVE,820,THEFT,True,True,2522,25,6,2023,8,20,6,Less Severe,Summer
41.91096238,-87.69455985,26.0,24.0,2023-08-21 07:28:00,016XX N WASHTENAW AVE,1350,CRIMINAL TRESPASS,True,False,1421,14,26,2023,8,21,7,Other,Summer
41.92120774,-87.75483259,26.0,19.0,2023-08-21 14:37:00,022XX N LEAMINGTON AVE,1220,DECEPTIVE PRACTICE,True,False,2522,25,11,2023,8,21,14,Other,Summer
41.92974382,-87.68427378,32.0,22.0,2023-08-22 11:44:00,026XX N ELSTON AVE,860,THEFT,True,False,1432,14,6,2023,8,22,11,Less Severe,Summer
41.9033043,-87.67006468,1.0,24.0,2023-08-24 16:07:00,016XX W DIVISION ST,860,THEFT,True,False,1424,14,6,2023,8,24,16,Less Severe,Summer
41.86668568,-87.66342658,22.0,30.0,2015-05-15 00:00:00,041XX W 24TH PL,1754,OFFENSE INVOLVING CHILDREN,True,True,1013,10,2,2015,5,15,0,Other,Spring
41.9242483,-87.74563692,31.0,19.0,2023-08-26 02:15:00,047XX W FULLERTON AVE,1330,CRIMINAL TRESPASS,True,False,2522,25,26,2023,8,26,2,Other,Summer
41.97235959,-87.72814279,39.0,14.0,2023-08-26 13:43:00,050XX N PULASKI RD,860,THEFT,True,False,1712,17,6,2023,8,26,13,Less Severe,Summer
41.9692293,-87.71338636,33.0,14.0,2023-08-27 01:16:00,048XX N KIMBALL AVE,454,BATTERY,True,False,1712,17,08B,2023,8,27,1,Severe,Summer
41.92823582,-87.68208415,32.0,22.0,2023-08-27 11:58:00,025XX N ELSTON AVE,860,THEFT,True,False,1432,14,6,2023,8,27,11,Less Severe,Summer
41.91010705,-87.70767654,26.0,23.0,2023-08-27 13:16:00,032XX W NORTH AVE,860,THEFT,True,False,1422,14,6,2023,8,27,13,Less Severe,Summer
41.76170131,-87.71864284,23.0,65.0,2023-08-27 22:00:00,072XX S AVERS AVE,910,MOTOR VEHICLE THEFT,True,False,833,8,7,2023,8,27,22,Other,Summer
41.9301323,-87.7856768,36.0,19.0,2023-08-28 06:23:00,027XX N NARRAGANSETT AVE,1320,CRIMINAL DAMAGE,True,False,2512,25,14,2023,8,28,6,Less Severe,Summer
41.9065191,-87.75835963,37.0,25.0,2023-08-29 13:59:00,014XX N LOCKWOOD AVE,1310,CRIMINAL DAMAGE,True,True,2532,25,14,2023,8,29,13,Less Severe,Summer
41.92974382,-87.68427378,32.0,22.0,2023-08-30 15:28:00,026XX N ELSTON AVE,860,THEFT,True,False,1432,14,6,2023,8,30,15,Less Severe,Summer
41.92886994,-87.72567292,35.0,22.0,2023-08-30 10:34:00,026XX N HARDING AVE,1310,CRIMINAL DAMAGE,True,True,2524,25,14,2023,8,30,10,Less Severe,Summer
41.92628702,-87.785548,36.0,19.0,2023-08-31 17:12:00,025XX N NARRAGANSETT AVE,860,THEFT,True,False,2512,25,6,2023,8,31,17,Less Severe,Summer
41.90312536,-87.6809839,1.0,24.0,2023-09-02 00:35:00,021XX W DIVISION ST,454,BATTERY,True,False,1424,14,08B,2023,9,2,0,Severe,Fall
41.74823293,-87.64153328,6.0,71.0,2023-09-02 01:00:00,080XX S UNION AVE,486,BATTERY,True,True,621,6,08B,2023,9,2,1,Severe,Fall
41.90968718,-87.79600963,29.0,25.0,2023-09-02 16:28:00,016XX N NEWCASTLE AVE,920,MOTOR VEHICLE THEFT,True,False,2513,25,7,2023,9,2,16,Other,Fall
41.71286177,-87.53769489,10.0,52.0,2023-09-02 23:00:00,100XX S AVENUE M,497,BATTERY,True,True,432,4,04B,2023,9,2,23,Severe,Fall
41.91049144,-87.74993661,37.0,25.0,2023-09-01 19:50:00,049XX W CONCORD PL,5002,OTHER OFFENSE,False,False,2533,25,26,2023,9,1,19,Less Severe,Fall
41.76342357,-87.70523658,17.0,66.0,2023-09-03 03:00:00,071XX S SPAULDING AVE,910,MOTOR VEHICLE THEFT,True,False,831,8,7,2023,9,3,3,Other,Fall
41.98142637,-87.77299737,45.0,11.0,2023-09-03 21:50:00,054XX N MILWAUKEE AVE,502P,OTHER OFFENSE,True,False,1622,16,26,2023,9,3,21,Less Severe,Fall
