ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13203381,JG415587,9/6/23 16:47,047XX W WEST END AVE,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1113,11,28,25,6,1144858,1900562,2023,9/14/23 15:43,41.88315079,-87.74353491,"(41.883150785, -87.743534907)"
13202224,JG414226,9/6/23 20:10,028XX W BELMONT AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,TRUE,FALSE,1733,17,33,21,04A,1156752,1921140,2023,9/14/23 15:43,41.9393859,-87.69930066,"(41.939385902, -87.699300657)"
13206126,JG418815,9/6/23 20:00,063XX S KEDZIE AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SIDEWALK,FALSE,FALSE,823,8,14,66,11,1156141,1862549,2023,9/14/23 15:43,41.77861818,-87.70312686,"(41.77861818, -87.70312686)"
13201402,JG413073,9/6/23 6:43,014XX S BLUE ISLAND AVE,810,THEFT,OVER $500,GOVERNMENT BUILDING / PROPERTY,TRUE,FALSE,1233,12,28,28,6,1168519,1893359,2023,9/26/23 15:44,41.8629061,-87.65685888,"(41.862906101, -87.656858884)"
13202587,JG414707,9/6/23 21:00,028XX S PRAIRIE AVE,610,BURGLARY,FORCIBLE ENTRY,VEHICLE NON-COMMERCIAL,FALSE,FALSE,133,1,4,35,5,1178511,1886067,2023,10/9/23 15:40,41.84267447,-87.62040192,"(41.842674466, -87.620401921)"
13203072,JG415095,9/6/23 22:30,030XX N MOBILE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,2511,25,30,19,26,1133880,1919540,2023,9/14/23 15:43,41.93542876,-87.7834006,"(41.935428755, -87.783400598)"
13201212,JG413022,9/6/23 3:34,050XX N LINCOLN AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,BAR OR TAVERN,FALSE,FALSE,2031,20,40,4,5,1158737,1933560,2023,9/14/23 15:43,41.97342657,-87.69166342,"(41.973426571, -87.691663417)"
13202188,JG413993,9/6/23 18:00,052XX S PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,GROCERY FOOD STORE,FALSE,TRUE,815,8,23,62,08B,1150589,1869566,2023,9/14/23 15:43,41.79798376,-87.72329858,"(41.79798376, -87.723298581)"
13207185,JG420003,9/6/23 8:40,014XX S BLUE ISLAND AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1232,12,28,28,6,1168627,1893531,2023,9/14/23 15:43,41.86337575,-87.65645745,"(41.863375747, -87.656457451)"
13204224,JG416613,9/6/23 11:00,073XX N WASHTENAW AVE,460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,FALSE,FALSE,2411,24,50,2,08B,1157092,1948758,2023,9/14/23 15:43,42.01516417,-87.69729739,"(42.015164168, -87.697297389)"
